note_id,raw_note,gratitude_type,time_of_event
1046,friday,weekend,
1047,my mom,parent,
1048,my mom,parent,
1049,my brother,sibling,
1050,weekend,weekend,
1051,wfh,work from home,
1052,new week,new day,
1053,my mom,parent,
1054,a new day,new day,
1055,good sleep,sleeping,
1056,good weather,weather,
1057,a new day,new day,
1058,wfh,work from home,
1059,myself,myself,
1060,a new day,new day,
1061,thursday,new day,
1062,my mom,parent,
1063,friday,weekend,
1064,my mom,parent,
1065,my bed,sleeping,
1066,myself,myself,
1067,weekend,weekend,
1068,new day,new day,
1069,myself,myself,
1070,mom,parent,
1071,dad,parent,
1072,my mom,parent,
1073,wfh,work from home,
1074,my brother,sibling,
1075,thursday,new day,
1076,myself,myself,
1077,another day,new day,
1078,myself,myself,
1079,friday,weekend,
1080,new day,new day,
1081,my friends,friends,
1082,my mom,parent,
1083,my family,family,
1084,first day of school,achievement,09/01/2022
1085,my family,family,
1086,her,love,
1087,my brother,sibling,
1088,my mom,parent,
1089,my dad,parent,
1090,wfh,work from home,
1091,llws,sports,
1092,myself,myself,
1093,my mom,parent,
1094,me,myself,
1095,my brother,sibling,
1096,friday,weekend,
1097,wfh,work from home,
1098,my parents,parent,
1099,my mom,parent,
1100,my fam,family,
1101,new day,new day,
1102,new chance,new day,
1103,luis,sibling,
1104,feel good,mental health,
1105,amazing concert,fun,
1106,thursday,new day,
1107,new month of memories,fun,
1108,joey,specific friend,
1109,my friends,friends,
1110,God,faith,
1111,back in school,achievement,
1112,wfh,work from home,
1113,confidence ive earned,mental health,
1114,softball,sports,
1115,my parents,parent,
1116,good sleep,sleeping,
1117,friday,weekend,
1118,good weather,weather,
1119,my mom,parent,
1120,my dad,parent,
1121,my friends,friends,
1122,my life,myself,
1123,new week,new day,
1124,my mom,parent,
1125,my dad,parent,
1126,new day,new day,
1127,my mom,parent,
1128,my life,myself,
1129,waking up early,mental health,
1130,my family,family,
1131,nice weather,weather,
1132,good days,new day,
1133,my friends,friends,
1134,nfl today,sports,
1135,friday,weekend,
1136,carlos,specific friend,
1137,my bed,sleeping,
1138,amazing weekend,fun,
1139,fern,specific friend,
1140,my family,family,
1141,myself,myself,
1142,my family,family,
1143,sleep,sleeping,
1144,travel week,travel,
1145,my bed,sleeping,
1146,my family,family,
1147,amazing trip,travel,
1148,my home,home,
1149,traveling,travel,
1150,good night rest,sleeping,
1151,my mom,parent,
1152,God,faith,
1153,doctors,health,
1154,sleep,sleeping,
1155,my fam,family,
1156,myself,myself,
